Date,1 oz,,1/2 oz,,1/4 oz,
,Selling,Buying,Selling,Buying,Selling,Buying
03-Jan-17,"5,478","5,256","2,790","2,628","1,421","1,314"
04-Jan-17,"5,522","5,296","2,813","2,648","1,432","1,324"
05-Jan-17,"5,576","5,351","2,841","2,675","1,447","1,338"
06-Jan-17,"5,611","5,384","2,858","2,692","1,456","1,346"
09-Jan-17,"5,580","5,354","2,843","2,677","1,448","1,339"
10-Jan-17,"5,621","5,391","2,863","2,696","1,458","1,348"
11-Jan-17,"5,645","5,415","2,876","2,708","1,464","1,354"
12-Jan-17,"5,666","5,435","2,887","2,717","1,470","1,359"
13-Jan-17,"5,658","5,427","2,883","2,714","1,468","1,357"
16-Jan-17,"5,699","5,468","2,903","2,734","1,479","1,367"
17-Jan-17,"5,712","5,481","2,910","2,741","1,482","1,370"
18-Jan-17,"5,731","5,500","2,920","2,750","1,487","1,375"
19-Jan-17,"5,690","5,460","2,899","2,730","1,476","1,365"
20-Jan-17,"5,684","5,455","2,896","2,727","1,475","1,364"
23-Jan-17,"5,732","5,500","2,920","2,750","1,487","1,375"
24-Jan-17,"5,731","5,498","2,920","2,749","1,487","1,375"
25-Jan-17,"5,691","5,461","2,899","2,731","1,477","1,365"
26-Jan-17,"5,650","5,419","2,878","2,709","1,466","1,355"
27-Jan-17,"5,585","5,358","2,845","2,679","1,449","1,339"
31-Jan-17,"5,634","5,406","2,870","2,703","1,462","1,352"
02-Feb-17,"5,703","5,469","2,905","2,734","1,480","1,367"
03-Feb-17,"5,708","5,474","2,908","2,737","1,481","1,368"
06-Feb-17,"5,736","5,501","2,922","2,751","1,488","1,375"
07-Feb-17,"5,803","5,566","2,956","2,783","1,506","1,391"
08-Feb-17,"5,808","5,568","2,959","2,784","1,507","1,392"
10-Feb-17,"5,785","5,548","2,947","2,774","1,501","1,387"
13-Feb-17,"5,805","5,567","2,957","2,784","1,506","1,392"
14-Feb-17,"5,795","5,558","2,952","2,779","1,503","1,390"
15-Feb-17,"5,799","5,562","2,954","2,781","1,504","1,390"
16-Feb-17,"5,821","5,584","2,965","2,792","1,510","1,396"
17-Feb-17,"5,857","5,617","2,984","2,809","1,519","1,404"
20-Feb-17,"5,847","5,608","2,979","2,804","1,517","1,402"
21-Feb-17,"5,855","5,617","2,982","2,808","1,519","1,404"
22-Feb-17,"5,849","5,611","2,980","2,806","1,517","1,403"
23-Feb-17,"5,841","5,603","2,976","2,801","1,515","1,401"
24-Feb-17,"5,898","5,652","3,005","2,826","1,530","1,413"
27-Feb-17,"5,927","5,683","3,020","2,841","1,538","1,421"
28-Feb-17,"5,905","5,663","3,008","2,832","1,532","1,416"
01-Mar-17,"5,882","5,637","2,997","2,818","1,526","1,409"
02-Mar-17,"5,895","5,653","3,003","2,826","1,529","1,413"
03-Mar-17,"5,835","5,597","2,973","2,798","1,514","1,399"
06-Mar-17,"5,847","5,608","2,979","2,804","1,517","1,402"
07-Mar-17,"5,795","5,558","2,952","2,779","1,504","1,390"
08-Mar-17,"5,747","5,512","2,928","2,756","1,491","1,378"
09-Mar-17,"5,721","5,488","2,915","2,744","1,484","1,372"
10-Mar-17,"5,681","5,449","2,894","2,724","1,474","1,362"
13-Mar-17,"5,700","5,468","2,904","2,734","1,479","1,367"
14-Mar-17,"5,679","5,447","2,893","2,724","1,473","1,362"
15-Mar-17,"5,664","5,432","2,885","2,716","1,469","1,358"
16-Mar-17,"5,752","5,514","2,931","2,757","1,492","1,378"
17-Mar-17,"5,772","5,533","2,940","2,767","1,497","1,383"
20-Mar-17,"5,802","5,561","2,955","2,780","1,505","1,390"
21-Mar-17,"5,804","5,569","2,957","2,784","1,506","1,392"
22-Mar-17,"5,859","5,620","2,985","2,810","1,520","1,405"
23-Mar-17,"5,857","5,617","2,984","2,809","1,519","1,404"
24-Mar-17,"5,857","5,618","2,984","2,809","1,520","1,404"
27-Mar-17,"5,882","5,641","2,996","2,821","1,526","1,410"
28-Mar-17,"5,872","5,632","2,992","2,816","1,523","1,408"
29-Mar-17,"5,865","5,627","2,988","2,814","1,522","1,407"
30-Mar-17,"5,875","5,635","2,993","2,818","1,524","1,409"
31-Mar-17,"5,841","5,603","2,976","2,801","1,515","1,401"
03-Apr-17,"5,868","5,628","2,989","2,814","1,522","1,407"
04-Apr-17,"5,904","5,663","3,008","2,831","1,532","1,416"
05-Apr-17,"5,907","5,668","3,009","2,834","1,532","1,417"
06-Apr-17,"5,919","5,679","3,015","2,840","1,536","1,420"
07-Apr-17,"5,895","5,654","3,003","2,827","1,529","1,414"
10-Apr-17,"5,910","5,669","3,011","2,834","1,533","1,417"
11-Apr-17,"5,918","5,677","3,015","2,839","1,535","1,419"
12-Apr-17,"6,008","5,764","3,061","2,882","1,559","1,441"
13-Apr-17,"6,047","5,800","3,081","2,900","1,569","1,450"
14-Apr-17,"6,029","5,783","3,071","2,891","1,564","1,446"
17-Apr-17,"6,055","5,809","3,085","2,904","1,571","1,452"
18-Apr-17,"6,001","5,756","3,057","2,878","1,557","1,439"
19-Apr-17,"6,031","5,785","3,073","2,892","1,565","1,446"
20-Apr-17,"5,983","5,739","3,048","2,869","1,552","1,435"
21-Apr-17,"5,983","5,740","3,048","2,870","1,552","1,435"
25-Apr-17,"5,955","5,713","3,034","2,856","1,545","1,428"
26-Apr-17,"5,851","5,614","2,981","2,807","1,518","1,404"
27-Apr-17,"5,849","5,610","2,980","2,805","1,517","1,402"
28-Apr-17,"5,834","5,595","2,972","2,798","1,514","1,399"
02-May-17,"5,788","5,551","2,949","2,776","1,502","1,388"
03-May-17,"5,761","5,525","2,935","2,762","1,495","1,381"
04-May-17,"5,686","5,453","2,897","2,727","1,475","1,363"
05-May-17,"5,653","5,422","2,880","2,711","1,467","1,355"
08-May-17,"5,676","5,444","2,892","2,722","1,473","1,361"
09-May-17,"5,653","5,430","2,880","2,715","1,467","1,357"
11-May-17,"5,620","5,399","2,863","2,699","1,458","1,350"
12-May-17,"5,648","5,424","2,877","2,712","1,465","1,356"
15-May-17,"5,657","5,431","2,882","2,716","1,468","1,358"
16-May-17,"5,638","5,419","2,872","2,709","1,463","1,355"
17-May-17,"5,692","5,468","2,900","2,734","1,477","1,367"
18-May-17,"5,771","5,545","2,940","2,772","1,497","1,386"
19-May-17,"5,748","5,512","2,928","2,756","1,491","1,378"
22-May-17,"5,756","5,530","2,932","2,765","1,493","1,383"
23-May-17,"5,760","5,534","2,934","2,767","1,494","1,384"
24-May-17,"5,712","5,491","2,910","2,746","1,482","1,373"
25-May-17,"5,706","5,486","2,907","2,743","1,480","1,371"
26-May-17,"5,699","5,474","2,903","2,737","1,478","1,368"
29-May-17,"5,746","5,522","2,927","2,761","1,491","1,380"
30-May-17,"5,748","5,525","2,928","2,762","1,491","1,381"
31-May-17,"5,731","5,511","2,919","2,755","1,487","1,378"
01-Jun-17,"5,769","5,541","2,939","2,771","1,497","1,385"
02-Jun-17,"5,748","5,527","2,928","2,763","1,491","1,382"
05-Jun-17,"5,797","5,572","2,953","2,786","1,504","1,393"
06-Jun-17,"5,783","5,558","2,946","2,779","1,500","1,390"
07-Jun-17,"5,852","5,625","2,981","2,812","1,518","1,406"
08-Jun-17,"5,822","5,591","2,966","2,796","1,510","1,398"
09-Jun-17,"5,791","5,566","2,950","2,783","1,502","1,391"
13-Jun-17,"5,728","5,506","2,918","2,753","1,486","1,376"
14-Jun-17,"5,731","5,508","2,920","2,754","1,487","1,377"
15-Jun-17,"5,702","5,476","2,905","2,738","1,479","1,369"
16-Jun-17,"5,685","5,466","2,896","2,733","1,475","1,366"
19-Jun-17,"5,689","5,468","2,898","2,734","1,476","1,367"
20-Jun-17,"5,646","5,429","2,876","2,715","1,465","1,357"
21-Jun-17,"5,661","5,443","2,884","2,722","1,469","1,361"
22-Jun-17,"5,689","5,457","2,898","2,728","1,476","1,364"
28-Jun-17,"5,677","5,457","2,892","2,728","1,473","1,364"
29-Jun-17,"5,698","5,473","2,903","2,736","1,478","1,368"
30-Jun-17,"5,674","5,450","2,891","2,725","1,472","1,362"
03-Jul-17,"5,654","5,434","2,880","2,717","1,467","1,359"
04-Jul-17,"5,581","5,367","2,843","2,683","1,448","1,342"
05-Jul-17,"5,594","5,379","2,850","2,690","1,451","1,345"
06-Jul-17,"5,586","5,370","2,845","2,685","1,449","1,342"
07-Jul-17,"5,568","5,354","2,836","2,677","1,444","1,338"
10-Jul-17,"5,533","5,318","2,819","2,659","1,435","1,329"
11-Jul-17,"5,528","5,316","2,816","2,658","1,434","1,329"
12-Jul-17,"5,552","5,337","2,828","2,669","1,440","1,334"
13-Jul-17,"5,544","5,328","2,824","2,664","1,438","1,332"
14-Jul-17,"5,533","5,318","2,819","2,659","1,436","1,330"
17-Jul-17,"5,593","5,375","2,849","2,688","1,451","1,344"
18-Jul-17,"5,613","5,394","2,859","2,697","1,456","1,349"
19-Jul-17,"5,650","5,432","2,879","2,716","1,466","1,358"
20-Jul-17,"5,645","5,427","2,876","2,713","1,464","1,357"
21-Jul-17,"5,658","5,439","2,883","2,719","1,468","1,360"
24-Jul-17,"5,708","5,486","2,908","2,743","1,481","1,371"
25-Jul-17,"5,692","5,471","2,900","2,736","1,477","1,368"
26-Jul-17,"5,665","5,446","2,886","2,723","1,470","1,362"
27-Jul-17,"5,728","5,506","2,918","2,753","1,486","1,377"
28-Jul-17,"5,719","5,497","2,913","2,748","1,484","1,374"
31-Jul-17,"5,763","5,540","2,936","2,770","1,495","1,385"
01-Aug-17,"5,756","5,533","2,932","2,767","1,493","1,383"
02-Aug-17,"5,762","5,539","2,936","2,769","1,495","1,385"
03-Aug-17,"5,741","5,519","2,925","2,760","1,489","1,380"
04-Aug-17,"5,758","5,535","2,934","2,767","1,494","1,384"
07-Aug-17,"5,714","5,492","2,911","2,746","1,482","1,373"
08-Aug-17,"5,713","5,492","2,910","2,746","1,482","1,373"
09-Aug-17,"5,748","5,526","2,928","2,763","1,491","1,382"
10-Aug-17,"5,801","5,576","2,955","2,788","1,505","1,394"
11-Aug-17,"5,857","5,630","2,984","2,815","1,520","1,407"
14-Aug-17,"5,862","5,634","2,986","2,817","1,521","1,409"
15-Aug-17,"5,823","5,599","2,967","2,800","1,511","1,400"
16-Aug-17,"5,800","5,576","2,955","2,788","1,505","1,394"
17-Aug-17,"5,850","5,623","2,980","2,812","1,518","1,406"
18-Aug-17,"5,870","5,642","2,990","2,821","1,523","1,410"
21-Aug-17,"5,845","5,620","2,978","2,810","1,516","1,405"
22-Aug-17,"5,862","5,635","2,986","2,817","1,521","1,409"
23-Aug-17,"5,839","5,608","2,974","2,804","1,515","1,402"
24-Aug-17,"5,856","5,628","2,983","2,814","1,519","1,407"
25-Aug-17,"5,838","5,611","2,974","2,805","1,514","1,403"
28-Aug-17,"5,851","5,625","2,981","2,812","1,518","1,406"
29-Aug-17,"5,962","5,733","3,037","2,866","1,547","1,433"
30-Aug-17,"5,927","5,697","3,020","2,849","1,538","1,424"
